"编号","相关性等级 A/B/C","论文题目","作者","年份","期刊 / working paper 来源","ISSN","是否属于我指定的期刊名单","DOI","官方链接","研究对象","研究方法","核心结论","与我的论文关系","可支撑的论文部分","建议引用位置","是否建议加入最终参考文献","备注"
"11","A","The Effects of Reporting Complexity on Small and Large Investor Trading","Brian P. Miller","2010","The Accounting Review","0001-4826","否（扩展参考）","10.2308/accr.00000001","https://doi.org/10.2308/accr.00000001","财务报告复杂性、中小投资者交易行为","披露复杂性度量、交易行为检验","更复杂、更难读的披露会降低整体交易，尤其影响小投资者","支撑信息处理成本和投资者注意力约束","课题意义、理论依据","论述可审计问答降低信息获取成本时","是","基础经典文献"
"12","A","Textual Risk Disclosures and Investors' Risk Perceptions","Todd Kravet; Volkan Muslu","2013","Review of Accounting Studies","1380-6653","否（扩展参考）","10.1007/s11142-013-9228-9","https://doi.org/10.1007/s11142-013-9228-9","10-K 风险因素披露、投资者风险感知","文本风险披露变化、交易量、波动率和分析师分歧检验","风险披露增加与更高波动、交易量和分析师预测分歧相关","支撑风险因素披露具有市场信息含量","国内外研究现况","讨论风险因素披露场景时","是","基础经典文献"
"13","A","Are Lengthy and Boilerplate Risk Factor Disclosures Inadequate? An Examination of Judicial and Regulatory Assessments of Risk Factor Language","Richard A. Cazier; Jeff L. McMullin; John S. Treu","2021","The Accounting Review","0001-4826","否（扩展参考）","10.2308/TAR-2018-0657","https://doi.org/10.2308/TAR-2018-0657","风险因素披露、司法与监管评估、样板化文本","风险因素长度和 boilerplate 度量、监管/司法结果分析","冗长和样板化风险披露在监管和司法评估中未必被视为不足，存在制度激励","支撑风险因素文本冗长、重复、难处理的金融现实","课题意义、研究现况","论述长文本证据定位和风险披露复杂性时","是","近 3-5 年扩展参考"
"14","A","Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures","Yang Bao; Anindya Datta","2014","Management Science","0025-1909","否（扩展参考）","10.1287/mnsc.2014.1930","https://pubsonline.informs.org/doi/10.1287/mnsc.2014.1930","10-K 风险因素披露、风险类型识别","改进 LDA 主题模型、风险类型量化、市场反应分析","非结构化风险文本中的风险类型可自动发现和量化，不同风险类型信息含量不同","支撑自动化金融文本证据抽取和主题定位的经管意义","研究现况、方法合理性","讨论自动化风险文本分析时","是","基础经典文献"
"15","A","不同来源金融文本信息含量的异质性分析——基于混合式文本情绪测度方法","范小云;王业东;王道平;郭文璇;胡煊翊","2022","管理世界","1002-5502","是","10.19744/j.cnki.11-1235/f.2022.0145","https://www.glsj.chinajournal.net.cn/WKB2/WebPublication/wkTextContent.aspx?colType=4&st=10&yt=2022","中文新闻、股吧文本、金融文本情绪","中文金融情绪词典、机器学习、混合式情绪测度","新闻与股吧文本对宏观经济、股票收益、交易量和波动性具有不同预测能力","支撑中文金融文本具有信息含量和机器学习处理价值","国内外研究现况、课题意义","补充国内金融文本研究时","是","中文指定权威期刊"
"16","A","大数据应用对中国企业市场价值的影响——来自中国上市公司年报文本分析的证据","张叶青;陆瑶;李乐芸","2021","经济研究","0577-9154","是","待核验","https://acadcn.cn/7096.html","中国上市公司年报文本、大数据应用、市场价值","年报关键词词频、上市公司面板数据、实证回归","从年报文本中识别企业大数据应用，并检验其市场价值影响","支撑年报文本可以度量企业技术应用和资本市场价值","课题意义、国内研究现况","补充中文年报文本分析文献时","是","需用 CNKI/学校图书馆复核 DOI 与正式页码；公开题录显示 2021,56(12):42-59"
"17","B","文本大数据分析在经济学和金融学中的应用：一个文献综述","沈艳;陈赟;黄卓","2019","经济学（季刊）","2095-1086","是","待核验","https://www.idf.pku.edu.cn/xz/503151.htm","经济学与金融学文本大数据研究","综述、文本信息提取流程、词典法、机器学习、深度学习","文本大数据为经济金融研究提供新数据来源和高频分析视角","为本论文补充中文经管文本分析综述入口","国内外研究现况","在技术综述前加入经管文本分析脉络","是","基础中文综述，早于 2021 但值得引用"
"18","B","Artificial Intelligence, Firm Growth, and Product Innovation","Tania Babina; Anastassia Fedyk; Alex He; James Hodson","2024","Journal of Financial Economics","0304-405X","是","10.1016/j.jfineco.2023.103745","https://www.sciencedirect.com/science/article/pii/S0304405X2300185X","企业 AI 投资、增长、产品创新","员工简历构建 AI 投资度量、工具变量、企业增长检验","AI 投资企业销售、就业、市值和产品创新增长更快","支撑 AI 在金融经济中的现实重要性，但不直接研究金融文本","课题意义、现实应用价值","讨论 AI 赋能金融分析和企业决策时","是","近 3-5 年指定英文顶刊，B 级背景"
"19","B","The Changing Economics of Knowledge Production","Simona Abis; Laura Veldkamp","2024","The Review of Financial Studies","0893-9454","是","10.1093/rfs/hhad059","https://academic.oup.com/rfs/article/37/1/89/7235570","投资管理行业、数据、知识生产、AI/大数据技术","结构模型、招聘与工资数据、知识生产函数估计","大数据和 AI 改变金融知识生产中数据与劳动的关系","支撑 RAG 作为金融知识生产工具和智能投研基础设施","理论依据、结论意义","论述金融知识生产和智能投研时","是","近 3-5 年指定英文顶刊"
"20","B","Generative AI at Work","Erik Brynjolfsson; Danielle Li; Lindsey Raymond","2025","Quarterly Journal of Economics","0033-5533","是","10.1093/qje/qjae044","https://academic.oup.com/qje/article/140/2/889/7990658","生成式 AI 工作场景、知识劳动生产率","准实验/错位上线、劳动生产率和质量指标","生成式 AI 提高工作效率，尤其帮助经验较少的工作者处理复杂任务","可支撑 AI 降低信息处理成本，但不是金融专门文献","课题意义、现实应用价值","谨慎用于 AI 辅助信息处理背景","选择性加入","指定顶刊，弱于金融文本直接相关文献"
"21","B","Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models","Alejandro Lopez-Lira; Yuehua Tang","2023/2025","SSRN Electronic Journal / Working paper","1556-5068","否（扩展参考）","10.2139/ssrn.4412788","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4412788","新闻标题、股票收益预测、LLM","LLM 情绪评分、收益预测、市场效率理论模型","LLM 能解释复杂新闻并可能改变信息扩散和市场效率","支撑 LLM 改变金融信息处理，但属于工作论文","结论意义、智能投研应用","讨论生成式 AI 与市场效率时","选择性加入","需标注 working paper，不应作为顶刊证据"
"22","B","The Economics of Disclosure and Financial Reporting Regulation: Evidence and Suggestions for Future Research","Christian Leuz; Peter D. Wysocki","2016","Journal of Accounting Research","0021-8456","否（扩展参考）","10.1111/1475-679X.12115","https://doi.org/10.1111/1475-679X.12115","披露与财务报告监管、信息不对称、市场后果","综述、监管经济学框架","披露和财务报告监管的经济后果包括资本市场效果和真实经济效果","支撑金融披露、信息不对称和监管价值理论背景","关键理论、课题意义","在信息披露质量和监管文件价值段落引用","是","基础经典文献"
"23","B","Empirical Asset Pricing via Machine Learning","Shihao Gu; Bryan Kelly; Dacheng Xiu","2020","The Review of Financial Studies","0893-9454","是","10.1093/rfs/hhaa009","https://academic.oup.com/rfs/article/33/5/2223/5758276","资产定价、机器学习预测","多模型机器学习、样本外预测、资产定价检验","机器学习能提升资产风险溢价预测并处理高维非线性变量","支撑机器学习在金融预测中的经管合法性，但不直接研究披露问答","国内外研究现况、方法背景","简短说明 ML 已进入金融学核心问题","选择性加入","2020 年指定顶刊，背景性引用"
"24","B","The Real Effects of Risk Disclosures: Evidence from Climate Change Reporting in 10-Ks","Jeong-Bon Kim; Chong Wang; Feng Wu","2023","Review of Accounting Studies","1380-6653","否（扩展参考）","10.1007/s11142-022-09687-z","https://link.springer.com/article/10.1007/s11142-022-09687-z","10-K 气候风险披露、企业真实行为","准自然实验、DID、风险披露文本识别","风险披露不仅影响投资者，也可能改变企业真实行为","支撑风险披露文本的经济后果，但与问答系统连接较间接","课题意义、结论价值","讨论风险披露的实践意义时","选择性加入","近 3-5 年扩展参考"
"25","C","Count (and Count-Like) Data in Finance","Jonathan B. Cohn; Zack Liu; Malcolm I. Wardlaw","2022","Journal of Financial Economics","0304-405X","是","10.1016/j.jfineco.2022.08.004","https://www.sciencedirect.com/science/article/abs/pii/S0304405X2200174X","金融研究中的计数型变量和类计数数据","计量方法比较、固定效应 Poisson、复现分析","金融研究中计数型变量处理不当会改变经济结论","可弱支撑数值口径和计量可靠性意识，但不是金融文本问答文献","方法背景","仅在数值可靠性附加说明中可引用","否","备选，不建议加入主参考文献"
"26","C","央行沟通有助于改善宏观经济预测吗？——基于文本数据的高维稀疏建模","林建浩;陈良源;罗子豪等","2021","经济研究","0577-9154","是","待核验","待核验","央行沟通文本、宏观经济预测","高维稀疏建模、文本数据预测","央行沟通文本可能改善宏观经济预测","可说明中文经济文本可用于预测，但与公司披露问答连接较弱","国内研究现况","作为中文文本经济预测备选","否","题录需 CNKI/学校图书馆进一步核验"

